TDC QDC1 QDC2
1025.5971301392603 -2.945833 -2.94375
3341.75379450113 -2.997916 -2.916666
5072.298821370167 -2.9416659999999992 -2.933333
12541.98890287912 -4.801042000000001 -4.3
1011.9704081227989 -2.94375 -2.945833
3912.9742621552623 -2.939583 -2.902083
7390.692902740952 -2.9875000000000003 -2.970833
10658.76331668877 -3.0187500000000003 -2.925
2203.8032220708524 -2.9499999999999997 -2.917708
11639.135229989162 -3.061458 -3.0052080000000005
3472.912240568421 -4.216667 -4.797917
8558.228243700469 -3.002083 -2.9604159999999995
8738.56374409506 -3.03125 -3.0062499999999996
3541.4605164367695 -2.9562500000000003 -2.9562500000000003
1987.9184942013705 -2.998958 -2.9499999999999997
5081.227429716098 -2.9375000000000004 -2.9291659999999995
3748.712837651855 -2.972916 -2.9625
1025.5496165951013 -3.067708 -3.023958
2425.1945043025216 -3.758333 -3.71875
11053.92257649769 -2.939583 -2.9312500000000004
4694.054861109374 -2.990625 -2.939583
9708.770681075197 -3.0666659999999997 -2.9416659999999992
3694.7957246399997 -3.66875 -3.30625
6232.86440726422 -2.9666659999999996 -2.9145830000000004
440.77803220353746 -3.566667 -3.385417
2763.0833186755913 -2.9520830000000005 -2.9291659999999995
4896.668645630653 -2.976041 -2.9604159999999995
247.86627931066107 -2.958333 -3.0125
5836.708010268999 -2.9354159999999996 -2.9552080000000003
168.85501023867863 -6.878126 -4.883334
12026.977554523308 -2.9291659999999995 -2.933333
4280.07322049336 -6.504168000000001 -3.447917
1632.1890784799396 -3.9354169999999997 -3.4250000000000003
8549.507232846414 -2.969791 -2.9312500000000004
7204.968496146864 -2.970833 -2.9520830000000005
6186.4507902776695 -3.4770830000000004 -3.772917
1798.8103354416878 -2.99375 -2.9427079999999997
2951.4274893256866 -3.0104159999999998 -2.9416659999999992
11810.616500539089 -2.9520830000000005 -2.9270830000000005
12411.396034841786 -2.9666659999999996 -2.9270830000000005
10855.651951972668 -3.016666 -2.939583
518.5954942393994 -3.5833330000000005 -4.110417
3726.164118818952 -2.9354159999999996 -2.9604159999999995
4678.987776722043 -2.9625 -2.9625
8351.825596645182 -2.9479159999999998 -2.9416659999999992
3862.007630838922 -3.847917 -4.275
1802.4915773427142 -2.977083 -2.925
634.6815260929801 -2.945833 -2.94375
2770.017558746158 -2.9291659999999995 -2.920833
2676.2431992759884 -5.000001 -3.9520830000000005
8337.797957709274 -2.933333 -2.9604159999999995
2690.4145770864698 -3.4062500000000004 -3.6916670000000003
9897.501422872845 -2.9291659999999995 -2.94375
6032.094145102906 -2.964583 -2.933333
3151.257773900594 -2.958333 -2.9291659999999995
1421.4474095238122 -3.83125 -4.191667000000001
9706.913811014128 -2.9270830000000005 -2.9312500000000004
4879.208484571261 -2.970833 -2.9312500000000004
11719.459431173018 -5.553126000000001 -3.6604169999999994
835.1730818692687 -2.945833 -2.9291659999999995
10078.023735347002 -2.94375 -2.9791659999999998
6413.46969568925 -2.9354159999999996 -2.9499999999999997
2771.3864790902708 -2.9354159999999996 -2.920833
4874.745528068354 -2.970833 -2.9666659999999996
5066.799022494239 -2.970833 -2.9270830000000005
1801.9228611983324 -2.925 -2.9479159999999998
6614.968220532819 -2.9312500000000004 -2.9270830000000005
9118.856337273233 -2.922916 -2.9270830000000005
9330.483598854913 -2.9104159999999997 -2.9270830000000005
7571.031364749562 -2.9270830000000005 -2.972916
2580.55645214617 -2.9375000000000004 -2.958333
2384.2597262582767 -2.9562500000000003 -2.9479159999999998
